ConfirmedCovidCases,HealthcareWorkersCovidCases,HospitalisedCovidCases,RequiringICUCovidCases
130.3333333,18.33333333,18.66666667,2
139.6666667,29.33333333,29.66666667,2.333333333
116.3333333,25,34.33333333,3.333333333
147.3333333,31.33333333,33,4.333333333
181.3333333,33.33333333,34.66666667,7.666666667
219.3333333,41.33333333,31.33333333,7.333333333
231.3333333,37.66666667,33.66666667,7.333333333
264,42.66666667,47.33333333,7.666666667
283.6666667,54,61.33333333,9.333333333
265.3333333,61.66666667,74.66666667,10
263,67.66666667,75.33333333,8.333333333
273.3333333,76.33333333,71.33333333,15.33333333
277.3333333,82,90,16.33333333
313,87.66666667,95.66666667,16.66666667
346,91.33333333,112,11.66666667
385.6666667,110.6666667,94.66666667,10.66666667
381.6666667,107.3333333,90.33333333,10.33333333
363.6666667,105,75.33333333,7
368.3333333,101.3333333,75.66666667,12
360,135,89.66666667,19.66666667
403.3333333,167.3333333,85.33333333,20.33333333
448.3333333,187,95.33333333,16.66666667
511,191,82,9.666666667
487.6666667,182.3333333,85.33333333,10.33333333
503.3333333,180,72.66666667,8
501.6666667,188.6666667,61.66666667,7.333333333
577.3333333,186.6666667,63.66666667,6.333333333
611.3333333,200.3333333,59,5.333333333
627.6666667,213.3333333,59.66666667,6.333333333
618.6666667,233.6666667,66.66666667,5.333333333
557.3333333,232.6666667,69,6.333333333
492,220.6666667,63.33333333,4
411.3333333,202.3333333,51.66666667,6.333333333
473.3333333,201.6666667,51.33333333,6.333333333
651.6666667,178.6666667,50.66666667,8.333333333
714.6666667,177.6666667,54.33333333,7.666666667
630,151.3333333,49.66666667,7.333333333
551.6666667,173,50.66666667,6
488,163.6666667,46,5
438.6666667,189,34,4.666666667
330.3333333,168,31,2
321.3333333,160,27.33333333,2.333333333
318.6666667,142,43.33333333,3
307.6666667,135,38.66666667,4.333333333
298,128,39.66666667,1
313,123.6666667,24,-1
269,106.6666667,31.33333333,0.333333333
247.3333333,108.3333333,17.66666667,3.333333333
204.3333333,95.66666667,17,4
186,97.66666667,12,1.333333333
170.6666667,92,25.33333333,2.666666667
203.6666667,91,31.66666667,2.333333333
198,82.66666667,27.66666667,3.333333333
160.6666667,79,25.66666667,1.666666667
135,75.33333333,21.33333333,2
230.6666667,96.33333333,18.33333333,1.333333333
238,173.6666667,10.33333333,0.333333333
215.6666667,177.6666667,14.66666667,0
95,147.6666667,21.33333333,0.666666667
81.33333333,62.66666667,21.66666667,1.333333333
67.66666667,43.66666667,16.33333333,0.333333333
67.66666667,47.33333333,15.66666667,1.333333333
63.66666667,44,18.66666667,0.333333333
85,43.33333333,17,1
89,35,15.66666667,0
82.66666667,24,13,0.666666667
64,17,10.33333333,0.333333333
51,13,7.333333333,0.666666667
56.33333333,24,9.666666667,1.666666667
52,26,14,3.333333333
52.66666667,30.33333333,12.33333333,3
48,21.33333333,9.333333333,3
54.66666667,14.33333333,5.333333333,1.333333333
67.33333333,8.333333333,5.333333333,1.333333333
51,10.33333333,4.333333333,0
44.66666667,13.66666667,5,0.333333333
31.66666667,19,8.333333333,0.666666667
37.66666667,20,6.666666667,0.666666667
30,18.33333333,7,0.333333333
25.66666667,10.66666667,3.333333333,-0.333333333
19.33333333,9,3.333333333,0.333333333
14.33333333,9.333333333,4,1
12.33333333,14,0,0.666666667
12,13.66666667,-5,0.333333333
13.33333333,9.666666667,-18.66666667,0.666666667
22.33333333,8,-15,1.666666667
22.33333333,5.333333333,-9.333333333,1.333333333
24,4.666666667,1,0.666666667
13.33333333,5.333333333,2,0.666666667
13.33333333,4.666666667,-0.333333333,0.333333333
12.66666667,5.666666667,1.333333333,0
12.33333333,5,1.333333333,-0.666666667
17,2.666666667,0.666666667,0.666666667
13.66666667,3.666666667,0,0.666666667
10.66666667,2.333333333,-0.666666667,5
6.666666667,6.666666667,1.666666667,5
6.333333333,6.333333333,3.333333333,5
8.666666667,5.666666667,3,0.666666667
9,4.333333333,2.666666667,0
15,2.666666667,0.333333333,0
11.66666667,2.333333333,0,0.333333333
16,5.333333333,0,0.333333333
12,7.666666667,0.666666667,0
13.66666667,10,1.666666667,0
10.66666667,4.666666667,1.666666667,-0.333333333
10,3.666666667,4,0.666666667
11.66666667,3.666666667,3.666666667,0.666666667
12.66666667,4,3.333333333,0.666666667
11,5,0.666666667,0.333333333
15.33333333,3.666666667,-0.666666667,0
13,8,1.666666667,0
19.33333333,10.33333333,6.333333333,-0.333333333
19.66666667,10.33333333,7,0
23.66666667,7.333333333,5.666666667,0
21.66666667,3.666666667,0.666666667,0
17,5.333333333,0.666666667,0
20,6.666666667,0.666666667,0
19,12.33333333,2.333333333,0.333333333
22.33333333,13.33333333,3,0.333333333
23,11,2.333333333,0.333333333
25.33333333,6.666666667,1.666666667,0
21.66666667,4.666666667,1,0
12.33333333,5.333333333,1.333333333,0
17.33333333,5,0,0
19.66666667,5.666666667,-0.666666667,0.333333333
20,8.333333333,-0.666666667,0.333333333
14.66666667,10.66666667,0.666666667,0.333333333
17,8.666666667,1.666666667,0
18.66666667,5.666666667,1.333333333,0
15.66666667,3.333333333,0.666666667,0
21,4.666666667,1.333333333,-0.333333333
21.66666667,5.666666667,1.333333333,0
46.33333333,5.666666667,1.333333333,0
45.66666667,8.333333333,1,0
56,9.333333333,1.333333333,-0.333333333
45.33333333,8.333333333,3,-0.333333333
48,5.666666667,2.333333333,0
48,3,1.666666667,0
47,3.333333333,-0.666666667,0.666666667
54.66666667,2.333333333,0,0
72.33333333,3.333333333,1.333333333,0.333333333
113.6666667,3,2.333333333,-0.333333333
113.3333333,4,2,0.333333333
99.66666667,3.333333333,0.666666667,0
53.33333333,5.333333333,2.666666667,0.333333333
44,4.333333333,3.666666667,1
55.66666667,5.333333333,4.666666667,1
66.33333333,4.333333333,3,0.666666667
119.6666667,5,2.666666667,0
111,7,2.333333333,0.333333333
107.3333333,7,2,0.333333333
104,8.666666667,1.333333333,0
100,9.333333333,1.333333333,0
126.6666667,8.666666667,2.333333333,0.333333333
89.66666667,8.666666667,1.666666667,0.666666667
123.6666667,6.333333333,1.666666667,0.333333333
98.66666667,7.666666667,0.666666667,0
121.3333333,5.666666667,1.666666667,0
100,6.666666667,1,0
134.3333333,5.666666667,0.333333333,0.333333333
116.3333333,10.33333333,-4,0.333333333
128,12,-4.333333333,1
120.6666667,13.66666667,-3.666666667,0.666666667
103.6666667,12.33333333,2.666666667,0.666666667
79,10,5.333333333,0
104,9.666666667,6.333333333,0
119.6666667,13,5.666666667,0.333333333
133.6666667,16.66666667,5,0.333333333
94,19.33333333,2.333333333,0.333333333
141.3333333,19.66666667,2.333333333,0.333333333
155.6666667,21.33333333,3,0.333333333
157,25.33333333,5,0.333333333
182.3333333,20.33333333,3.666666667,0.333333333
164.3333333,21,3.333333333,0.666666667
195.6666667,14.66666667,2.666666667,0.666666667
163.6666667,19,3.666666667,0.333333333
188.6666667,19,3.666666667,0
208.3333333,20,5.333333333,0
207.3333333,17.33333333,5.666666667,0
273.3333333,13.33333333,5.666666667,0.333333333
273,15.66666667,6,0.666666667
283.6666667,18,6.666666667,1.333333333
249,19,9.333333333,1.333333333
255.6666667,15.33333333,10.33333333,1.666666667
307.6666667,15.66666667,12.33333333,1.333333333
286,17.33333333,11.33333333,1.666666667
306,20.66666667,11.66666667,1.666666667
252,21.33333333,11.33333333,3
297.3333333,19.33333333,9.333333333,2.333333333
294.6666667,20.33333333,8.333333333,2
299.3333333,16.66666667,6,0.666666667
334.6666667,14,7.666666667,0.666666667
356,12.33333333,7.666666667,0.333333333
394.3333333,16.33333333,9,-0.333333333
394,24,8.333333333,0.333333333
411.3333333,31,11.33333333,1.333333333
447,33.66666667,12.66666667,2.333333333
508.3333333,37,14.33333333,1.333333333
482.3333333,32.33333333,12,0.333333333
498.3333333,29.33333333,15.66666667,0
438,31,11,0.666666667
520.3333333,38.66666667,16,1.333333333
516.3333333,49.33333333,17,2.333333333
578,49.66666667,26.33333333,2.666666667
711.6666667,46,22.66666667,3.666666667
814.3333333,37.66666667,21.66666667,3
883.6666667,30.66666667,22.33333333,2.333333333
816.6666667,36.66666667,26.33333333,4.333333333
910.3333333,38.66666667,27.66666667,4
1037,54.66666667,31.33333333,4.666666667
1100,52.33333333,29.33333333,2
1160.333333,50.33333333,26.33333333,2.333333333
1186.333333,35.33333333,21.33333333,2
1196.666667,26,20.33333333,1.666666667
1194.333333,34.33333333,21.66666667,2.333333333
1155.666667,38,25,2.666666667
1167.333333,56.33333333,40.33333333,3.666666667
1003.333333,46.66666667,47.33333333,3.666666667
900.6666667,43.33333333,33.33333333,3.333333333
887,22.66666667,25.66666667,1.666666667
941,19.66666667,15.66666667,0.333333333
894.6666667,20.33333333,25.66666667,1.666666667
778,29,19.66666667,3
753.6666667,77.66666667,30.66666667,3.333333333
771,79,38.66666667,2.666666667
684.6666667,77,41,2.666666667
580,29.33333333,31.66666667,2.666666667
578.3333333,26.33333333,21,2.333333333
547,37,24,4.666666667
511,45.66666667,31,5.666666667
452.3333333,56.66666667,39,6
511.3333333,58,43.66666667,3
475,65.66666667,38.33333333,2.333333333
458.6666667,57.66666667,34,1.333333333
382.3333333,49.66666667,28,0.666666667
360.6666667,39,23.66666667,1.333333333
300.6666667,46,38,4.666666667
342.3333333,56.33333333,36.33333333,5
413,58,44,4.666666667
444.3333333,64.33333333,30,2
438.6666667,55.66666667,27,1.666666667
430,55,21,1.333333333
400,62.33333333,19.66666667,1.333333333
400.3333333,71.66666667,25.66666667,2.666666667
391.3333333,78.66666667,27.66666667,2.333333333
379.3333333,61.66666667,36.66666667,3
367.6666667,48.66666667,33.66666667,1.666666667
330.6666667,39.33333333,29.66666667,1.333333333
304.6666667,31.33333333,16.66666667,0
265.3333333,24,12.33333333,0
249,30.33333333,24.66666667,3.333333333
276.6666667,34.66666667,28.66666667,4
270,42.66666667,29.66666667,5
261.3333333,37.33333333,17.66666667,1.666666667
249.3333333,29.66666667,16.33333333,1
282.6666667,31,18,0
291.3333333,54,18.33333333,1
281.6666667,72,17.33333333,1.666666667
240.6666667,71.33333333,14.33333333,1.666666667
239.3333333,45,17.66666667,0.333333333
301.3333333,35.33333333,18.66666667,1.333333333
340.6666667,41.33333333,23.33333333,1.333333333
333,42.33333333,18,2.333333333
252.6666667,42.66666667,15.66666667,0.666666667
228,31.66666667,11.66666667,1.666666667
